feature,mean_|SHAP|
ST253Q01JA,0.06382567386915
ST004D01T,0.033382567296614846
ST294Q04JA,0.02384222421123504
ST250Q05JA,0.01821298991280782
ST251Q06JA,0.017476411482083603
REPEAT,0.01654557002423734
ST297Q01JA,0.013243598383346926
ST254Q05JA,0.012926433432953443
ST294Q05JA,0.011572600551507242
ST294Q01JA,0.010891479450045323
ST297Q05JA,0.0106439900779891
ST062Q02TA,0.010095605561845213
ST230Q01JA,0.009654910302654385
ST255Q01JA,0.009402465239741878
ST254Q06JA,0.008070629785492453
ST251Q02JA,0.007097041547705015
ST295Q04JA,0.005754679589424313
ST001D01T_9,0.005656876581079687
ST297Q09JA,0.0056441863185173
ST259Q01JA,0.005626961500177603
ST251Q04JA,0.005306310823400126
ST001D01T_11,0.004861759160408325
ST295Q05JA,0.0047424959552028285
ST250Q02JA,0.004627673592587864
ST016Q01NA,0.0045585712638647165
ST226Q01JA,0.004226544984627459
ST294Q02JA,0.004152325865753603
ST038Q10JA,0.0038876546668548313
ST062Q01TA,0.003816616318603501
ST295Q02JA,0.0032255885963864694
ST297Q07JA,0.0029933899753129354
ST022Q01TA_2.0,0.0019019480581991088
ST295Q01JA,0.0017705826444937756
ST250Q01JA,0.0015961080843831332
ST062Q03TA,0.0015102542048750689
ST019AQ01T_2.0,0.0014846977116533587
ST294Q03JA,0.0014031067547887334
LANGN_999,0.0013567991529334666
ST254Q03JA,0.0012826290844508573
ST295Q03JA,0.0011578191108333868
ST251Q01JA,0.001103484434214541
ST038Q03NA,0.001093236106466227
ST125Q01NA,0.0010686919394147837
ST254Q04JA,0.0010055432455956914
ST038Q07NA,0.0009794994209497282
ST254Q01JA,0.0009545152705241474
ST038Q05NA,0.0008795362643808278
ST250Q03JA,0.0007962907979654197
ST297Q06JA,0.0007586412857615397
ST038Q04NA,0.0007173340019359149
ST001D01T_8,0.0006063805251413578
ST251Q07JA,0.0005412072085887241
ST038Q08NA,0.0005306660998434379
ST250Q04JA,0.0005252862897605872
ST297Q03JA,0.000496562651657065
ST038Q11JA,0.0004886756921125329
ST254Q02JA,0.0004866645507715617
ST038Q06NA,0.00047508329536983195
LANGN_358,0.00045403061551375966
ST251Q03JA,0.0004316434100389517
ST038Q09JA,0.0004039603389716505
ST001D01T_7,0.0003699310004880545
LANGN_631,0.00014729842795782133
LANGN_313,5.718057336003195e-05
ST001D01T_96,0.0
ST019AQ01T_3.0,0.0
LANGN_527,0.0
LANGN_841,0.0
